gene_set,brain_map,reliability_genes,reliability_brain,attenuation_ceiling,detectable_true_rho
glucose_lactate_transport,baseline OEF,0.6699309017788458,0.9892774662306388,0.8140930813250924,0.3008121238013484
glucose_lactate_transport,coupling angle,0.6699309017788458,0.6629124947450978,0.6664124589209357,0.36747372514900556
glucose_lactate_transport,discordance (total),0.6699309017788458,0.5277615913825433,0.5946123096935902,0.4118466179948052
glucose_lactate_transport,discordance (extraction),0.6699309017788458,0.5459152929911594,0.6047524489643926,0.4049410121194958
glucose_lactate_transport,discordance (overshoot),0.6699309017788458,0.6102196026136053,0.6393785800776106,0.38301106167125454
endothelial,baseline OEF,0.5907309380907434,0.9892774662306388,0.76445850486371,0.3203431804438417
endothelial,coupling angle,0.5907309380907434,0.6629124947450978,0.625781846886634,0.3913329700817428
endothelial,discordance (total),0.5907309380907434,0.5277615913825433,0.5583592928981065,0.43858689535605894
endothelial,discordance (extraction),0.5907309380907434,0.5459152929911594,0.5678811963313724,0.4312329239767365
endothelial,discordance (overshoot),0.5907309380907434,0.6102196026136053,0.6003962010983211,0.4078791110226924
HALLMARK_ANGIOGENESIS,baseline OEF,0.5816965161083909,0.9892774662306388,0.7585903081182219,0.32282124638905924
HALLMARK_ANGIOGENESIS,coupling angle,0.5816965161083909,0.6629124947450978,0.6209781708546166,0.3943601889070563
HALLMARK_ANGIOGENESIS,discordance (total),0.5816965161083909,0.5277615913825433,0.5540731711994776,0.441979654483613
HALLMARK_ANGIOGENESIS,discordance (extraction),0.5816965161083909,0.5459152929911594,0.5635219818456498,0.43456879528163755
HALLMARK_ANGIOGENESIS,discordance (overshoot),0.5816965161083909,0.6102196026136053,0.5957873923652471,0.4110343251695662
pericyte_mural,baseline OEF,0.5570551863780122,0.9892774662306388,0.7423490710782066,0.32988398356813703
pericyte_mural,coupling angle,0.5570551863780122,0.6629124947450978,0.6076831767562301,0.4029880670262841
pericyte_mural,discordance (total),0.5570551863780122,0.5277615913825433,0.5422105971398558,0.45164935922899185
pericyte_mural,discordance (extraction),0.5570551863780122,0.5459152929911594,0.5514571110102738,0.44407636401087686
pericyte_mural,discordance (overshoot),0.5570551863780122,0.6102196026136053,0.5830317268086176,0.4200270028285625
glycolytic_enzymes,baseline OEF,0.48230794173098457,0.9892774662306388,0.6907505906899704,0.35452603597598437
glycolytic_enzymes,coupling angle,0.48230794173098457,0.6629124947450978,0.5654449229485222,0.4330909321608312
glycolytic_enzymes,discordance (total),0.48230794173098457,0.5277615913825433,0.5045231479965844,0.4853871814163872
glycolytic_enzymes,discordance (extraction),0.48230794173098457,0.5459152929911594,0.5131269641346413,0.4772484899100479
glycolytic_enzymes,discordance (overshoot),0.48230794173098457,0.6102196026136053,0.5425069221129508,0.4514026619450186
GOBP_BLOOD_VESSEL_MORPHOGENESIS,baseline OEF,0.44239863493654863,0.9892774662306388,0.6615549868559092,0.3701719035166509
GOBP_BLOOD_VESSEL_MORPHOGENESIS,coupling angle,0.44239863493654863,0.6629124947450978,0.5415455500302936,0.4522040089733652
GOBP_BLOOD_VESSEL_MORPHOGENESIS,discordance (total),0.44239863493654863,0.5277615913825433,0.48319872474953585,0.5068081851671321
GOBP_BLOOD_VESSEL_MORPHOGENESIS,discordance (extraction),0.44239863493654863,0.5459152929911594,0.49143888776761946,0.49831031865997244
GOBP_BLOOD_VESSEL_MORPHOGENESIS,discordance (overshoot),0.44239863493654863,0.6102196026136053,0.5195770580075512,0.4713238681177987
astrocyte,baseline OEF,0.3429302637187472,0.9892774662306388,0.5824544466183488,0.4204432985054496
astrocyte,coupling angle,0.3429302637187472,0.6629124947450978,0.4767942498031924,0.5136158182831869
astrocyte,discordance (total),0.3429302637187472,0.5277615913825433,0.4254238142293415,0.5756355440726874
astrocyte,discordance (extraction),0.3429302637187472,0.5459152929911594,0.43267872075427444,0.5659836202216691
astrocyte,discordance (overshoot),0.3429302637187472,0.6102196026136053,0.4574524775871618,0.5353322602099676
HALLMARK_GLYCOLYSIS,baseline OEF,0.3167467159992636,0.9892774662306388,0.5597770883491278,0.4374760487028898
HALLMARK_GLYCOLYSIS,coupling angle,0.3167467159992636,0.6629124947450978,0.4582306795767704,0.534423118486018
HALLMARK_GLYCOLYSIS,discordance (total),0.3167467159992636,0.5277615913825433,0.40886030731897394,0.5989553507191729
HALLMARK_GLYCOLYSIS,discordance (extraction),0.3167467159992636,0.5459152929911594,0.41583275035610834,0.5889124138386606
HALLMARK_GLYCOLYSIS,discordance (overshoot),0.3167467159992636,0.6102196026136053,0.43964196247200416,0.5570193240618588
HALLMARK_OXIDATIVE_PHOSPHORYLATION,baseline OEF,0.22809797302997475,0.9892774662306388,0.47502861472908975,0.5155248782329583
HALLMARK_OXIDATIVE_PHOSPHORYLATION,coupling angle,0.22809797302997475,0.6629124947450978,0.3888560097871712,0.6297679927832867
HALLMARK_OXIDATIVE_PHOSPHORYLATION,discordance (total),0.22809797302997475,0.5277615913825433,0.34696015511501016,0.705813232888973
HALLMARK_OXIDATIVE_PHOSPHORYLATION,discordance (extraction),0.22809797302997475,0.5459152929911594,0.35287699241711445,0.6939785648476521
HALLMARK_OXIDATIVE_PHOSPHORYLATION,discordance (overshoot),0.22809797302997475,0.6102196026136053,0.3730815654241309,0.6563955216789853
interneuron_subclass,baseline OEF,0.18701313580140966,0.9892774662306388,0.4301254248907694,0.5693433928663357
interneuron_subclass,coupling angle,0.18701313580140966,0.6629124947450978,0.3520984867962602,0.6955129827271554
interneuron_subclass,discordance (total),0.18701313580140966,0.5277615913825433,0.3141629356878237,0.7794970091848307
interneuron_subclass,discordance (extraction),0.18701313580140966,0.5459152929911594,0.3195204701176781,0.7664268542018395
interneuron_subclass,discordance (overshoot),0.18701313580140966,0.6102196026136053,0.33781515864783274,0.7249203077375166
HALLMARK_HYPOXIA,baseline OEF,0.12522848177588952,0.9892774662306388,0.351974026245065,0.6957589211281139
HALLMARK_HYPOXIA,coupling angle,0.12522848177588952,0.6629124947450978,0.2881241490524457,0.849942879035832
HALLMARK_HYPOXIA,discordance (total),0.12522848177588952,0.5277615913825433,0.25708127669759084,0.9525745006060948
HALLMARK_HYPOXIA,discordance (extraction),0.12522848177588952,0.5459152929911594,0.26146537690394644,0.9366022823562941
HALLMARK_HYPOXIA,discordance (overshoot),0.12522848177588952,0.6102196026136053,0.276436022227908,0.8858797301152229
