gene_set,n_genes,n_donors,n_pairs,reliability_one_pair,reliability_panel
glucose_lactate_transport,5,5,10,0.2887289220513827,0.6699309017788458
endothelial,6,5,10,0.22400980579157417,0.5907309380907434
HALLMARK_ANGIOGENESIS,36,5,10,0.21760193165577418,0.5816965161083909
pericyte_mural,5,5,10,0.2009738638010409,0.5570551863780122
glycolytic_enzymes,6,5,10,0.15706426051172387,0.48230794173098457
GOBP_BLOOD_VESSEL_MORPHOGENESIS,5,5,10,0.13694833059803904,0.44239863493654863
astrocyte,4,5,10,0.09451595891752243,0.3429302637187472
HALLMARK_GLYCOLYSIS,200,5,10,0.08485014771161888,0.3167467159992636
HALLMARK_OXIDATIVE_PHOSPHORYLATION,200,5,10,0.055802309568338246,0.22809797302997475
interneuron_subclass,4,5,10,0.04398293669000394,0.18701313580140966
HALLMARK_HYPOXIA,200,5,10,0.0278342044910622,0.12522848177588952
