gene_set,n_genes,target,rho,p_spin,n_parcels,h1_direction,p_fdr
endothelial,6,discordance_extraction,0.1305932473590963,0.3715628437156284,100,negative,0.7058986409051402
endothelial,6,discordance_overshoot,-0.12665863265124494,0.43145685431456854,100,negative,0.7396403216821176
endothelial,6,baseline_oef,-0.008592859285928591,0.967003299670033,100,negative,0.9709029097090291
endothelial,6,macaque_vascular_POSITIVE_CONTROL,0.4027328827505142,0.036996300369963,83,negative,0.31316868313168683
pericyte_mural,4,discordance_extraction,0.1275781682380407,0.38236176382361764,100,negative,0.7058986409051402
pericyte_mural,4,discordance_overshoot,0.016042183222396266,0.9242075792420757,100,negative,0.9709029097090291
pericyte_mural,4,baseline_oef,-0.3845784578457845,0.0428957104289571,100,negative,0.31316868313168683
pericyte_mural,4,macaque_vascular_POSITIVE_CONTROL,-0.1620838755719743,0.34636536346365365,83,negative,0.7058986409051402
astrocyte,4,discordance_extraction,-0.2325522702511613,0.1095890410958904,100,,0.37573385518590996
astrocyte,4,discordance_overshoot,0.3000538133476331,0.05219478052194781,100,,0.31316868313168683
astrocyte,4,baseline_oef,-0.08253225322532251,0.6812318768123188,100,,0.9257740892577409
astrocyte,4,macaque_vascular_POSITIVE_CONTROL,-0.29988245665589186,0.1065893410658934,83,,0.37573385518590996
glucose_lactate_transport,5,discordance_extraction,0.2518102606451294,0.0846915308469153,100,positive,0.37573385518590996
glucose_lactate_transport,5,discordance_overshoot,-0.2187236751503683,0.16818318168183183,100,positive,0.5045495450454955
glucose_lactate_transport,5,baseline_oef,-0.07834383438343834,0.6943305669433056,100,positive,0.9257740892577409
glucose_lactate_transport,5,macaque_vascular_POSITIVE_CONTROL,0.3972335334368834,0.03849615038496151,83,positive,0.31316868313168683
glycolytic_enzymes,6,discordance_extraction,0.031179890072234005,0.8254174582541746,100,positive,0.9709029097090291
glycolytic_enzymes,6,discordance_overshoot,0.006191825407293983,0.9709029097090291,100,positive,0.9709029097090291
glycolytic_enzymes,6,baseline_oef,-0.045892589258925885,0.813018698130187,100,positive,0.9709029097090291
glycolytic_enzymes,6,macaque_vascular_POSITIVE_CONTROL,-0.11777423281978085,0.4938506149385061,83,positive,0.7407759224077592
interneuron_subclass,4,discordance_extraction,-0.10258490757986892,0.47795220477952205,100,,0.7407759224077592
interneuron_subclass,4,discordance_overshoot,0.16188404172247814,0.31226877312268775,100,,0.7058986409051402
interneuron_subclass,4,baseline_oef,0.017713771377137713,0.9299070092990701,100,,0.9709029097090291
interneuron_subclass,4,macaque_vascular_POSITIVE_CONTROL,-0.21533520842953693,0.2216778322167783,83,,0.5911408859114089
