component,r2_target,p_spin,n_perm,n_genes,n_parcels,target,cell
1,0.13683469721416833,0.37462537462537465,1000,7670,100,discordance_extraction,c1509b5525b6
2,0.3690208199747294,0.02197802197802198,1000,7670,100,discordance_extraction,c1509b5525b6
3,0.48364443009678143,0.07192807192807193,1000,7670,100,discordance_extraction,c1509b5525b6
1,0.13913803732789717,0.4095904095904096,1000,7670,100,discordance_overshoot,c1509b5525b6
2,0.36677080046949756,0.04395604395604396,1000,7670,100,discordance_overshoot,c1509b5525b6
3,0.5125193313580246,0.03596403596403597,1000,7670,100,discordance_overshoot,c1509b5525b6
1,0.05434267621447195,0.974025974025974,1000,7670,100,coupling_angle,c1509b5525b6
2,0.1958104057565994,0.7522477522477522,1000,7670,100,coupling_angle,c1509b5525b6
3,0.4086587937743932,0.32967032967032966,1000,7670,100,coupling_angle,c1509b5525b6
1,0.17234364270969246,0.7292707292707292,1000,7670,100,baseline_oef,c1509b5525b6
2,0.2949330169927334,0.8741258741258742,1000,7670,100,baseline_oef,c1509b5525b6
3,0.4793987673795252,0.7632367632367633,1000,7670,100,baseline_oef,c1509b5525b6
1,0.22199156688686514,0.6666666666666666,2,7670,83,macaque_vascular_CONTROL,c1509b5525b6
2,0.36303571659589073,0.3333333333333333,2,7670,83,macaque_vascular_CONTROL,c1509b5525b6
3,0.5727607115746725,0.3333333333333333,2,7670,83,macaque_vascular_CONTROL,c1509b5525b6
