gene,rho,p_spin,p_fdr
RASGEF1B,0.47318331833183325,0.014098590140985901,0.9999000099990001
MX2,0.4396279627962797,0.014998500149985002,0.9999000099990001
ABCG1,0.4354155415541555,0.007399260073992601,0.9999000099990001
COL10A1,0.403924392439244,0.017198280171982803,0.9999000099990001
PCDH11X,0.38090609060906094,0.0643935606439356,0.9999000099990001
BDKRB2,0.37662166216621673,0.0648935106489351,0.9999000099990001
HACD2,0.3731053105310531,0.0316968303169683,0.9999000099990001
EPHA3,0.368940894089409,0.17018298170182983,0.9999000099990001
CCDC152,0.3670327032703271,0.08139186081391861,0.9999000099990001
PRKD1,0.3663366336633664,0.03899610038996101,0.9999000099990001
PCDH11Y,0.3644044404440445,0.0715928407159284,0.9999000099990001
NKAIN1,0.3623042304230424,0.031596840315968405,0.9999000099990001
NR2C2AP,0.3537833783378338,0.0496950304969503,0.9999000099990001
TSHZ3,0.3502910291029104,0.13238676132386762,0.9999000099990001
LRCOL1,0.34137413741374145,0.12308769123087691,0.9999000099990001
SLC22A9,0.33924992499249934,0.20187981201879812,0.9999000099990001
SLC25A21-AS1,0.328952895289529,0.019698030196980302,0.9999000099990001
SRD5A3,0.3214521452145215,0.1197880211978802,0.9999000099990001
PKNOX1,0.3213561356135614,0.12918708129187081,0.9999000099990001
NSUN6,0.3204440444044405,0.16228377162283772,0.9999000099990001
UNC13B,0.3183438343834384,0.16298370162983702,0.9999000099990001
LIG1,0.31711971197119715,0.100989901009899,0.9999000099990001
SDR16C5,0.31542754275427554,0.0547945205479452,0.9999000099990001
TADA1,0.31223522352235233,0.09809019098090191,0.9999000099990001
DCBLD1,0.3116711671167117,0.10788921107889211,0.9999000099990001
ARL9,0.3097269726972698,0.24347565243475652,0.9999000099990001
EXTL3,0.30864686468646874,0.09599040095990401,0.9999000099990001
C15orf41,0.3083348334833484,0.05799420057994201,0.9999000099990001
FAM172A,0.3067986798679868,0.21987801219878012,0.9999000099990001
CAV2,0.30401440144014413,0.1314868513148685,0.9999000099990001
EPHA5,0.3032703270327033,0.24727527247275272,0.9999000099990001
GRM7,0.29951395139513953,0.1675832416758324,0.9999000099990001
SLC29A3,0.2967176717671767,0.15158484151584842,0.9999000099990001
SOCS2,0.2948214821482148,0.0761923807619238,0.9999000099990001
SAPCD2,0.2931293129312932,0.21447855214478553,0.9999000099990001
CTNNB1,0.2929252925292529,0.24847515248475152,0.9999000099990001
SMC6,0.2880768076807681,0.20677932206779323,0.9999000099990001
LIMD2,0.28734473447344744,0.17678232176782321,0.9999000099990001
ZNRF1,0.28505250525052517,0.17148285171482852,0.9999000099990001
R3HDM4,0.2844284428442845,0.19468053194680532,0.9999000099990001
