gene,rho,p_spin,p_fdr
MFSD6,0.32458445844584466,0.0037996200379962005,0.9994302520775813
INF2,0.3144314431443145,0.006099390060993901,0.9994302520775813
RECQL4,0.3083348334833484,0.008599140085991401,0.9994302520775813
JCAD,0.30667866786678677,0.0091990800919908,0.9994302520775813
CACNG6,0.28872487248724876,0.015898410158984102,0.9994302520775813
LRRK1,0.28793279327932797,0.0170982901709829,0.9994302520775813
RNF144B,0.28541254125412546,0.015398460153984602,0.9994302520775813
MYOZ3,0.28537653765376547,0.0156984301569843,0.9994302520775813
RPS6KB1,0.2801440144014402,0.012998700129987,0.9994302520775813
GRB10,0.2788478847884789,0.011898810118988102,0.9994302520775813
DNAJC11,0.27629162916291633,0.011998800119988001,0.9994302520775813
LDLR,0.27584758475847587,0.019698030196980302,0.9994302520775813
EPHA6,0.2754395439543955,0.019198080191980802,0.9994302520775813
ZBTB24,0.2752115211521152,0.011498850114988501,0.9994302520775813
QPCT,0.27381938193819383,0.0188981101889811,0.9994302520775813
SLC9A1,0.26737473747374746,0.0188981101889811,0.9994302520775813
MYO1B,0.2622862286228623,0.029997000299970003,0.9994302520775813
TMEM241,0.26085808580858094,0.014298570142985701,0.9994302520775813
SGPP2,0.25870987098709874,0.018998100189981004,0.9994302520775813
DGKI,0.2586738673867387,0.024797520247975203,0.9994302520775813
FAM20A,0.2581098109810982,0.025697430256974303,0.9994302520775813
GRB14,0.25800180018001806,0.0374962503749625,0.9994302520775813
LRRC66,0.2548454845484549,0.029797020297970205,0.9994302520775813
LINC00680,0.2538973897389739,0.0336966303369663,0.9994302520775813
PTPRK,0.25309330933093316,0.030596940305969402,0.9994302520775813
PEX5L,0.2513411341134114,0.034996500349965,0.9994302520775813
PLEKHG5,0.24814881488148818,0.0164983501649835,0.9994302520775813
PRKD1,0.2465886588658866,0.054594540545945404,0.9994302520775813
PANX1,0.2463846384638464,0.0230976902309769,0.9994302520775813
DOCK4,0.24531653165316533,0.0392960703929607,0.9994302520775813
TMEM243,0.2437683768376838,0.039896010398960104,0.9994302520775813
TIGAR,0.23997599759976,0.0402959704029597,0.9994302520775813
PITRM1,0.23948394839483952,0.027197280271972803,0.9994302520775813
NAPA,0.23840384038403845,0.0282971702829717,0.9994302520775813
SLC25A17,0.23839183918391843,0.032296770322967704,0.9994302520775813
CCSER2,0.2373957395739575,0.0357964203579642,0.9994302520775813
TM4SF18,0.23513951395139518,0.034896510348965105,0.9994302520775813
CEP126,0.2347914791479148,0.0395960403959604,0.9994302520775813
PCDHB15,0.2339033903390339,0.047495250474952504,0.9994302520775813
RFK,0.23329132913291334,0.0453954604539546,0.9994302520775813
GOPC,0.23248724872487256,0.050594940505949405,0.9994302520775813
KAZALD1,0.23230723072307238,0.0397960203979602,0.9994302520775813
C12orf4,0.2302790279027903,0.0668933106689331,0.9994302520775813
WIPF3,0.2297509750975098,0.04129587041295871,0.9994302520775813
HSPA12B,0.22960696069606962,0.035596440355964404,0.9994302520775813
STARD4,0.22802280228022803,0.056394360563943605,0.9994302520775813
HECA,0.22726672667266734,0.05299470052994701,0.9994302520775813
USHBP1,0.22717071707170722,0.0463953604639536,0.9994302520775813
WDR36,0.2254185418541855,0.030596940305969402,0.9994302520775813
BIN3,0.22442244224422442,0.055594440555944404,0.9994302520775813
SETD3,0.22232223222322242,0.0542945705429457,0.9994302520775813
CHEK2,0.22217821782178224,0.058694130586941305,0.9994302520775813
UST,0.22057005700570062,0.08259174082591741,0.9994302520775813
SMAD6,0.22004200420042008,0.05299470052994701,0.9994302520775813
CHRNA4,0.21855385538553856,0.0674932506749325,0.9994302520775813
JAK1,0.21814581458145815,0.065993400659934,0.9994302520775813
FRAS1,0.2167656765676568,0.0524947505249475,0.9994302520775813
TRIM39,0.21573357335733578,0.0675932406759324,0.9994302520775813
SHROOM3,0.2154455445544555,0.09729027097290271,0.9994302520775813
ZNF284,0.2150735073507351,0.0725927407259274,0.9994302520775813
CACNB2,0.21498949894989502,0.07649235076492351,0.9994302520775813
ZNF318,0.21468946894689472,0.054394560543945605,0.9994302520775813
LYRM7,0.21406540654065412,0.06619338066193381,0.9994302520775813
AHNAK2,0.21378937893789382,0.06879312068793121,0.9994302520775813
ZNF143,0.21365736573657365,0.05799420057994201,0.9994302520775813
PHLDA2,0.21363336333633362,0.08189181081891811,0.9994302520775813
ARL6,0.21336933693369337,0.04889511048895111,0.9994302520775813
SORCS1,0.21328532853285334,0.0665933406659334,0.9994302520775813
UNC93B1,0.212973297329733,0.05089491050894911,0.9994302520775813
CA13,0.21292529252925296,0.0740925907409259,0.9994302520775813
FEM1C,0.21250525052505248,0.07169283071692831,0.9994302520775813
NOSTRIN,0.21243324332433247,0.06969303069693031,0.9994302520775813
RND1,0.21214521452145219,0.0653934606539346,0.9994302520775813
ANXA3,0.2120852085208521,0.0675932406759324,0.9994302520775813
METTL21A,0.2112331233123313,0.053894610538946106,0.9994302520775813
SHROOM2,0.21113711371137117,0.0766923307669233,0.9994302520775813
TMEM201,0.20997299729972999,0.07029297070292971,0.9994302520775813
LINC01260,0.2097689768976898,0.0690930906909309,0.9994302520775813
ZSCAN5A,0.20972097209720975,0.072992700729927,0.9994302520775813
SPRY4,0.2081608160816082,0.0746925307469253,0.9994302520775813
SUMF2,0.2081008100810081,0.06229377062293771,0.9994302520775813
CNIH1,0.20808880888088815,0.06569343065693431,0.9994302520775813
RDH12,0.2080768076807681,0.0785921407859214,0.9994302520775813
