gene,rho,p_spin,p_fdr
PEG3-AS1,0.46363611873478267,0.0005999400059994001,0.2091881720918817
ITGA11,0.4619690989413048,0.000999900009999,0.22203305985190958
KCNN4,0.4460210756462999,0.0016998300169983002,0.2386294703862947
PACSIN2,0.4454252815684865,0.00029997000299970003,0.2091881720918817
GFPT2,0.4447933787586844,0.00019998000199980003,0.2091881720918817
DDB2,0.4435837362370633,0.0011998800119988001,0.2266205197662052
TBC1D8,0.426985755766262,0.0021997800219978004,0.2386294703862947
TMEM80,0.4193668133166484,0.00019998000199980003,0.2091881720918817
GNL3,0.41158538157308555,0.0014998500149985001,0.2301069893010699
C15orf61,0.4053927340370253,0.0004999500049995,0.2091881720918817
HACD3,0.4031961195077133,0.0012998700129987,0.2266205197662052
EFHD2,0.40030140282661997,0.0004999500049995,0.2091881720918817
ZNF598,0.3992723039649423,0.0006999300069993001,0.22203305985190958
PVRIG,0.39578781132803365,9.999000099990002e-05,0.2091881720918817
KIAA0895L,0.39268847849900446,0.0005999400059994001,0.2091881720918817
PRR16,0.3926222791570251,0.0058994100589941,0.24574532837978338
MRRF,0.3918098326872796,0.0046995300469953,0.24297011292659557
PUS1,0.38813877826842946,0.0005999400059994001,0.2091881720918817
GTF2IRD1,0.3837997123077885,0.0008999100089991,0.22203305985190958
ULK3,0.3836733317458281,0.0026997300269973002,0.2386294703862947
TTR,0.38324002696196374,0.025997400259974,0.32062067105186587
RPL15,0.3819040038783823,0.0021997800219978004,0.2386294703862947
PPP2R5B,0.3812540467025859,0.0010998900109989002,0.22203305985190958
PDE4A,0.3792680664432079,0.0038996100389961006,0.24297011292659557
LRP12,0.378070460165583,0.0045995400459954,0.24297011292659557
ATP1B3,0.3745077319426988,0.0031996800319968005,0.24297011292659557
ZFAT,0.3728828390032078,0.0037996200379962005,0.24297011292659557
SEMA3A,0.3727504403192493,0.0023997600239976003,0.2386294703862947
LRP8,0.3718356857755358,0.0011998800119988001,0.2266205197662052
GID8,0.3692478933163463,0.0026997300269973002,0.2386294703862947
BHLHE22,0.36855580928656306,0.0018998100189981002,0.2386294703862947
CMPK2,0.36468013871977706,0.004999500049995001,0.24297011292659557
PXYLP1,0.36454774003581847,0.009999000099990002,0.256529530993389
TOB1-AS1,0.36415054398394286,0.001999800019998,0.2386294703862947
ISLR,0.3616710777207195,0.0021997800219978004,0.2386294703862947
DIDO1,0.3615206246707666,0.0027997200279972004,0.2386294703862947
GUSB,0.36134609913282123,0.001999800019998,0.2386294703862947
PKD1,0.35999803980524353,0.0038996100389961006,0.24297011292659557
ETV5,0.35983555051129434,0.0025997400259974,0.2386294703862947
ZMIZ1,0.35941428197142633,0.005099490050994901,0.24297011292659557
WDR60,0.3591314302375149,0.0007999200079992001,0.22203305985190958
NRG2,0.35850554554971104,0.0012998700129987,0.2266205197662052
SLC25A12,0.3583791649877506,0.0047995200479952005,0.24297011292659557
MELTF-AS1,0.3580602045218505,0.0013998600139986002,0.22847502483794174
SLC8B1,0.3575185735420201,0.014198580141985802,0.28071471203395126
GMPR2,0.35556870201463087,0.0018998100189981002,0.2386294703862947
CROCCP2,0.3551353972307666,0.003999600039996,0.24297011292659557
POMT1,0.3529026739694659,0.0032996700329967,0.24297011292659557
DENND6A,0.35195181069376374,0.0052994700529947,0.24574532837978338
PTPN2,0.3512657447859786,0.004899510048995101,0.24297011292659557
PCNT,0.3507180956841501,0.0065993400659934,0.24574532837978338
SLC25A25,0.35062180573218027,0.0033996600339966003,0.24297011292659557
NPHP4,0.35051347953621415,0.0020997900209979003,0.2386294703862947
PRPF4B,0.3499297217023971,0.0040995900409959,0.24297011292659557
TSPYL5,0.3485094449108419,0.0040995900409959,0.24297011292659557
LGR6,0.3475886722451303,0.007099290070992901,0.24641924947776717
CRAMP1,0.34735396548720376,0.005499450054994501,0.24574532837978338
NDUFA10,0.34713129497327355,0.0036996300369963003,0.24297011292659557
CAMK2G,0.346944733191332,0.0058994100589941,0.24574532837978338
GREM2,0.34617441357557327,0.0027997200279972004,0.2386294703862947
MYC,0.3460961779895978,0.006299370062993701,0.24574532837978338
HLF,0.3456388007177411,0.006899310068993101,0.2462918845730106
INPP5E,0.3450791153719163,0.001999800019998,0.2386294703862947
ARHGEF17,0.34250335915672314,0.0027997200279972004,0.2386294703862947
KLHL21,0.342027927518872,0.0053994600539946005,0.24574532837978338
VAV3,0.34092661119321693,0.0065993400659934,0.24574532837978338
DPY19L2P4,0.3403187808714074,0.0071992800719928,0.24764877772312455
TTC39C,0.3390790477397957,0.0057994200579942,0.24574532837978338
NPIPB15,0.3389586852998333,0.0045995400459954,0.24297011292659557
HS3ST4,0.33868786980991816,0.0057994200579942,0.24574532837978338
NFAT5,0.3386577791999276,0.0040995900409959,0.24297011292659557
