gene,rho,p_spin,p_fdr,p_maxt
MED4,0.45234624214569286,0.00039996000399960006,0.5596876209814916,0.24797520247975202
DOCK7,0.4020053176000937,0.0023997600239976003,0.5596876209814916,0.585041495850415
KIF26B,0.3991109852182585,0.0018998100189981002,0.5596876209814916,0.6072392760723928
LYN,0.39285296925753377,0.0027997200279972004,0.5596876209814916,0.6525347465253475
RAMP1,0.3867092824345531,0.0012998700129987,0.5596876209814916,0.6930306969303069
FSIP1,0.3809025657017653,0.0018998100189981002,0.5596876209814916,0.7356264373562644
ENKUR,0.3785618270395327,0.0032996700329967,0.5596876209814916,0.75002499750025
PAX6,0.3693372708205028,0.0032996700329967,0.5596876209814916,0.8088191180881912
DBX2,0.36681601246709544,0.0006999300069993001,0.5596876209814916,0.8228177182281772
RELN,0.3626640595700762,0.005499450054994501,0.5596876209814916,0.8443155684431557
SYF2,0.3585421932882527,0.004299570042995701,0.5596876209814916,0.8623137686231377
SCRG1,0.3584579507657045,0.0058994100589941,0.5596876209814916,0.8627137286271372
DENND1C,0.3579705475995326,0.0053994600539946005,0.5596876209814916,0.8641135886411359
FAR2P2,0.35657452865444794,0.006899310068993101,0.5596876209814916,0.8704129587041296
TPT1,0.3528437883701697,0.0033996600339966003,0.5596876209814916,0.8855114488551145
GPR34,0.35209764031331403,0.0037996200379962005,0.5596876209814916,0.8898110188981102
MIR99AHG,0.3519411899142959,0.0029997000299970002,0.5596876209814916,0.8905109489051095
LOC642852,0.347843392924629,0.012198780121987801,0.5596876209814916,0.9058094190580942
ANO10,0.34744023228100546,0.0025997400259974,0.5596876209814916,0.9072092790720928
AQP4,0.3471213141599301,0.010998900109989001,0.5596876209814916,0.9082091790820918
GSTM1,0.3468625692692462,0.024997500249975,0.5596876209814916,0.9095090490950904
P2RY12,0.3464594086256227,0.0122987701229877,0.5596876209814916,0.9111088891110889
GDF11,0.3463270275187612,0.0028997100289971,0.5596876209814916,0.9114088591140886
CRB1,0.3452499266947518,0.004999500049995001,0.5596876209814916,0.915008499150085
CTSH,0.34281892818693177,0.0044995500449955,0.5596876209814916,0.9237076292370763
SOWAHD,0.34268052975703117,0.009099090090990901,0.5596876209814916,0.9244075592440756
TLR3,0.34072489976930465,0.0029997000299970002,0.5596876209814916,0.9295070492950704
CHST9,0.3405263281090125,0.005099490050994901,0.5596876209814916,0.9302069793020697
CAPG,0.3355018633713152,0.0184981501849815,0.5596876209814916,0.9435056494350565
MYBPC1,0.33524913580367055,0.018198180181981802,0.5596876209814916,0.9443055694430557
LINC01197,0.33343792156888385,0.013498650134986502,0.5596876209814916,0.9487051294870513
SLC1A4,0.3326616868968324,0.016998300169983,0.5596876209814916,0.9501049895010499
KCNA5,0.3316989152105671,0.013098690130986902,0.5596876209814916,0.9525047495250475
GRB14,0.3316327246571364,0.007899210078992101,0.5596876209814916,0.9528047195280472
CERS1,0.3316267073340972,0.0081991800819918,0.5596876209814916,0.952904709529047
TFPT,0.32952064427039174,0.007499250074992501,0.5596876209814916,0.9574042595740426
RHOJ,0.329153587565003,0.007499250074992501,0.5596876209814916,0.958004199580042
CAPN12,0.3276793434204093,0.013898610138986101,0.5596876209814916,0.9611038896110389
PRDX6,0.3274145812066863,0.015898410158984102,0.5596876209814916,0.9613038696130387
CSF1R,0.3272160095463941,0.0150984901509849,0.5596876209814916,0.9615038496150385
S1PR1,0.3271799056081591,0.014598540145985401,0.5596876209814916,0.9615038496150385
RANBP3L,0.32672258905718315,0.018198180181981802,0.5596876209814916,0.962003799620038
LPP,0.32596440635424917,0.0025997400259974,0.5596876209814916,0.9636036396360363
ST6GALNAC5,0.32471882048514333,0.0131986801319868,0.5596876209814916,0.9663033696630337
SULT1C4,0.3245383007939686,0.0053994600539946005,0.5596876209814916,0.9666033396660334
GNAO1,0.32207119834791365,0.0030996900309969004,0.5596876209814916,0.9706029397060294
RAB39A,0.3211445305998833,0.0117988201179882,0.5596876209814916,0.9717028297170283
THAP8,0.32089782035527775,0.0081991800819918,0.5596876209814916,0.9718028197180282
C1QB,0.3200614124528348,0.013498650134986502,0.5596876209814916,0.9726027397260274
TLR4,0.3193272990420575,0.014798520147985201,0.5596876209814916,0.9735026497350265
ACSS3,0.3186834454768675,0.0245975402459754,0.5596876209814916,0.9745025497450255
SIX3,0.3186112376003976,0.008399160083991601,0.5596876209814916,0.9745025497450255
S100A13,0.318322406094518,0.016998300169983,0.5596876209814916,0.9751024897510249
FAM212A,0.31712495880972547,0.007099290070992901,0.5596876209814916,0.9764023597640236
