gene,rho,p_spin,p_fdr,p_maxt
PTPRD-AS1,0.6721380294697954,9.999000099990002e-05,0.023240100232401004,0.0025997400259974
KCNA1,0.6197262919272909,9.999000099990002e-05,0.023240100232401004,0.0212978702129787
SLCO4A1,0.5987573989337138,9.999000099990002e-05,0.023240100232401004,0.04689531046895311
MADCAM1,0.5954409974392342,9.999000099990002e-05,0.023240100232401004,0.05299470052994701
KCNC1,0.5936568573947357,0.0008999100089991,0.030952061744498195,0.055694430556944306
ANKRD29,0.593111120439948,9.999000099990002e-05,0.023240100232401004,0.056194380561943806
BEND6,0.5927333025481718,0.0007999200079992001,0.030952061744498195,0.0570942905709429
SEMA7A,0.5919356869988666,0.0004999500049995,0.02719586197408628,0.05879412058794121
RAD54B,0.5913899500440788,0.000999900009999,0.031175744214196468,0.05979402059794021
MPC1,0.5879266193694639,0.00019998000199980003,0.023240100232401004,0.0683931606839316
ARC,0.587527811594811,0.00029997000299970003,0.023240100232401004,0.06939306069393061
SCN1A,0.5847571470551193,0.00029997000299970003,0.023240100232401004,0.074992500749925
ARL13B,0.580391251416817,0.00019998000199980003,0.023240100232401004,0.08859114088591141
PIM3,0.5803282817681876,0.00029997000299970003,0.023240100232401004,0.0888911108889111
MED11,0.5776415767600017,0.00019998000199980003,0.023240100232401004,0.09659034096590341
ZDHHC2,0.5757105075353679,0.00029997000299970003,0.023240100232401004,0.10268973102689731
VAMP1,0.5739473573737458,0.0013998600139986002,0.03452387880183043,0.10888911108889111
ARHGAP9,0.5733806305360816,0.0005999400059994001,0.028940502176197477,0.11148885111488852
BCO2,0.5729818227614288,0.0014998500149985001,0.03465014944288704,0.11248875112488751
AR,0.57090382435666,0.00039996000399960006,0.026219600262196004,0.12008799120087991
SERTAD4-AS1,0.5689937450149026,0.00039996000399960006,0.026219600262196004,0.12738726127387262
SLC35A4,0.5685529574744972,0.00019998000199980003,0.023240100232401004,0.12868713128687131
LINC01158,0.5680701901683389,0.0010998900109989002,0.03219907016931895,0.1302869713028697
LYPD5,0.568028210402586,0.0016998300169983002,0.035622120848024484,0.13058694130586943
THAP10,0.5674404936820453,0.0006999300069993001,0.030330300303303002,0.1322867713228677
STAC2,0.56729356450191,0.0008999100089991,0.030952061744498195,0.1331866813318668
SCN1B,0.5665589186012341,0.0015998400159984002,0.034663200346632006,0.13638636136386362
SERTAD4,0.5664749590697283,0.0010998900109989002,0.03219907016931895,0.13658634136586342
