cell,primary,target,probe_selection,lr_mirror,missing,n_genes,n_perm,threshold_abs_rho,n_observed,null_mean,null_sd,z,p,per_gene_fdr_floor,frac_p_spin_below_05
ffd1ad852ce7,True,discordance_extraction,diff_stability,bidirectional,centroids,7670,10000,0.24142282907299636,1263,388.7327,482.69937502622685,1.811204541030321,0.06209379062093791,0.7669233076692331,0.1653194263363755
ffd1ad852ce7,True,discordance_overshoot,diff_stability,bidirectional,centroids,7670,10000,0.25588453203228484,742,393.5761,491.7034102065899,0.7086058236887338,0.1581841815818418,0.7669233076692331,0.09608865710560625
ffd1ad852ce7,True,coupling_angle,diff_stability,bidirectional,centroids,7670,10000,0.2321688993256504,109,322.5141,395.6397813683427,-0.5396679253576304,0.6773322667733227,0.7669233076692331,0.01864406779661017
ffd1ad852ce7,True,baseline_oef,diff_stability,bidirectional,centroids,7670,10000,0.3601496772548557,28,350.0795,469.14469897863063,-0.6865248625875886,0.8709129087091291,0.7669233076692331,0.004432855280312908
ffd1ad852ce7,True,macaque_vascular_CONTROL,diff_stability,bidirectional,centroids,7670,2,0.4826987065704615,577,383.5,241.5,0.8012422360248447,0.6666666666666666,2556.6666666666665,0.0
103a0c4a1557,True,discordance_extraction,diff_stability,bidirectional,centroids,7671,10000,0.24063244546889842,1233,392.3525,483.06907502317927,1.740222141025407,0.0648935106489351,0.767023297670233,0.16256029200886454
103a0c4a1557,True,discordance_overshoot,diff_stability,bidirectional,centroids,7671,10000,0.25513217157837126,778,394.7596,491.60204475555224,0.7795744628982682,0.1511848815118488,0.767023297670233,0.10285490809542433
103a0c4a1557,True,coupling_angle,diff_stability,bidirectional,centroids,7671,10000,0.23196276981789152,88,320.4787,392.7898185369753,-0.5918653921985904,0.7356264373562644,0.767023297670233,0.015512970929474644
103a0c4a1557,True,baseline_oef,diff_stability,bidirectional,centroids,7671,10000,0.35633789732625265,28,350.4231,464.4125044466288,-0.6942601607684606,0.871012898710129,0.767023297670233,0.005475166210402816
103a0c4a1557,True,macaque_vascular_CONTROL,diff_stability,bidirectional,centroids,7671,2,0.48529112091534005,539,384.0,218.0,0.7110091743119266,0.6666666666666666,2557.0,0.0
c1509b5525b6,True,discordance_extraction,diff_stability,bidirectional,centroids,7670,10000,0.24339428903001875,1048,389.6961,487.96657174932585,1.3490758140255936,0.08549145085491451,0.7669233076692331,0.14054758800521513
c1509b5525b6,True,discordance_overshoot,diff_stability,bidirectional,centroids,7670,10000,0.25810508065904697,680,392.0912,489.09692892366434,0.5886538699672254,0.17638236176382363,0.7669233076692331,0.08891786179921773
c1509b5525b6,True,coupling_angle,diff_stability,bidirectional,centroids,7670,10000,0.2325989483529388,112,330.7986,408.1666226408524,-0.5360521607189863,0.6696330366963303,0.7669233076692331,0.018513689700130377
c1509b5525b6,True,baseline_oef,diff_stability,bidirectional,centroids,7670,10000,0.3661521252086344,23,350.5203,473.51705268966816,-0.6916758290744157,0.8898110188981102,0.7669233076692331,0.004302477183833116
c1509b5525b6,True,macaque_vascular_CONTROL,diff_stability,bidirectional,centroids,7670,2,0.4942432232164651,621,384.0,263.0,0.9011406844106464,0.6666666666666666,2556.6666666666665,0.0
cc911d49f117,True,discordance_extraction,diff_stability,bidirectional,centroids,7671,10000,0.242301294442202,1021,391.9385,489.21442836219575,1.2858604806607765,0.09069093090690931,0.767023297670233,0.13831312736279494
cc911d49f117,True,discordance_overshoot,diff_stability,bidirectional,centroids,7671,10000,0.25719668573696797,699,391.7384,489.4814674381861,0.6277287710362648,0.17118288171182883,0.767023297670233,0.0919045756746187
cc911d49f117,True,coupling_angle,diff_stability,bidirectional,centroids,7671,10000,0.23227025776390228,107,329.1025,405.24240818767964,-0.5480731915331474,0.680931906809319,0.767023297670233,0.017077304132446878
cc911d49f117,True,baseline_oef,diff_stability,bidirectional,centroids,7671,10000,0.36233465941617315,23,349.1993,468.44963462416104,-0.6963380391185724,0.8904109589041096,0.767023297670233,0.0037804719071828966
cc911d49f117,True,macaque_vascular_CONTROL,diff_stability,bidirectional,centroids,7671,2,0.49521538107985497,587,384.0,237.0,0.8565400843881856,0.6666666666666666,2557.0,0.0
