name,tail,n_in_set,n_overlap,observed,null_mean,null_sd,z,p,n_draws,cell,target,primary
endothelial,positive,6,5,0.0,0.05044,0.09822324775734104,-0.5135240500763242,1.0,10000,c1509b5525b6,discordance_extraction,True
endothelial,negative,6,5,0.0,0.04066,0.08858196430425325,-0.45900991606310226,1.0,10000,c1509b5525b6,discordance_extraction,True
pericyte_mural,positive,5,3,0.0,0.05276666666666666,0.12903105138772689,-0.40894549102066524,1.0,10000,c1509b5525b6,discordance_extraction,True
pericyte_mural,negative,5,3,0.0,0.04136666666666666,0.11503583499646244,-0.35959809104648793,1.0,10000,c1509b5525b6,discordance_extraction,True
astrocyte,positive,4,3,0.0,0.040266666666666666,0.11333694111904653,-0.35528280778613464,1.0,10000,c1509b5525b6,discordance_extraction,True
astrocyte,negative,4,3,0.6666666666666666,0.04423333333333333,0.12004198802456117,5.185130166337968,0.006399360063993601,10000,c1509b5525b6,discordance_extraction,True
glucose_lactate_transport,positive,5,3,0.0,0.046799999999999994,0.12114630273626457,-0.3863097671406742,1.0,10000,c1509b5525b6,discordance_extraction,True
glucose_lactate_transport,negative,5,3,0.0,0.056899999999999985,0.13398238275567756,-0.4246826995438609,1.0,10000,c1509b5525b6,discordance_extraction,True
glycolytic_enzymes,positive,6,5,0.0,0.0475,0.09446560220524718,-0.5028285311387299,1.0,10000,c1509b5525b6,discordance_extraction,True
glycolytic_enzymes,negative,6,5,0.2,0.04114,0.08836006111360495,1.7978710969399732,0.19038096190380963,10000,c1509b5525b6,discordance_extraction,True
interneuron_subclass,positive,4,4,0.0,0.04495,0.10255241342845131,-0.4383124540638985,1.0,10000,c1509b5525b6,discordance_extraction,True
interneuron_subclass,negative,4,4,0.25,0.0516,0.11129887690358785,1.782587619207183,0.18968103189681032,10000,c1509b5525b6,discordance_extraction,True
HALLMARK_GLYCOLYSIS,positive,200,99,0.04040404040404041,0.04938888888888889,0.021725602662289713,-0.413560379636509,0.7237276272372762,10000,c1509b5525b6,discordance_extraction,True
HALLMARK_GLYCOLYSIS,negative,200,99,0.0707070707070707,0.04806565656565656,0.021172106919652618,1.0693982524902927,0.19638036196380362,10000,c1509b5525b6,discordance_extraction,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,positive,200,100,0.02,0.04800300000000001,0.021297933960832915,-1.3148223696954724,0.9552044795520448,10000,c1509b5525b6,discordance_extraction,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,negative,200,100,0.02,0.04380200000000001,0.020183280110031673,-1.1792929528917218,0.9387061293870613,10000,c1509b5525b6,discordance_extraction,True
HALLMARK_ANGIOGENESIS,positive,36,14,0.0,0.04934285714285714,0.05824803403882191,-0.8471162667905747,1.0,10000,c1509b5525b6,discordance_extraction,True
HALLMARK_ANGIOGENESIS,negative,36,14,0.0,0.05823571428571428,0.062310361686234716,-0.9346072259853277,1.0,10000,c1509b5525b6,discordance_extraction,True
HALLMARK_HYPOXIA,positive,200,101,0.07920792079207921,0.05154356435643565,0.021853854147134033,1.2658799793111792,0.14878512148785122,10000,c1509b5525b6,discordance_extraction,True
HALLMARK_HYPOXIA,negative,200,101,0.04950495049504951,0.05047425742574258,0.02177748732117907,-0.044509585352870466,0.5821417858214178,10000,c1509b5525b6,discordance_extraction,True
endothelial,positive,6,5,0.0,0.0357,0.08309939831310453,-0.4296059986558316,1.0,10000,c1509b5525b6,discordance_overshoot,True
endothelial,negative,6,5,0.0,0.04518,0.09279422180286875,-0.48688376412035655,1.0,10000,c1509b5525b6,discordance_overshoot,True
pericyte_mural,positive,5,3,0.0,0.034466666666666666,0.1043010812770201,-0.3304535892118355,1.0,10000,c1509b5525b6,discordance_overshoot,True
pericyte_mural,negative,5,3,0.0,0.051533333333333334,0.12697280548736933,-0.4058611852792339,1.0,10000,c1509b5525b6,discordance_overshoot,True
astrocyte,positive,4,3,0.6666666666666666,0.046933333333333334,0.12182654335844331,5.0870140139323095,0.006399360063993601,10000,c1509b5525b6,discordance_overshoot,True
astrocyte,negative,4,3,0.0,0.0468,0.12296695129631828,-0.38059006510801596,1.0,10000,c1509b5525b6,discordance_overshoot,True
glucose_lactate_transport,positive,5,3,0.0,0.05843333333333332,0.13473014592964047,-0.4337064502538927,1.0,10000,c1509b5525b6,discordance_overshoot,True
glucose_lactate_transport,negative,5,3,0.0,0.049966666666666666,0.12632849155189727,-0.3955296707246738,1.0,10000,c1509b5525b6,discordance_overshoot,True
glycolytic_enzymes,positive,6,5,0.0,0.0322,0.0789630293238551,-0.40778577361737856,1.0,10000,c1509b5525b6,discordance_overshoot,True
glycolytic_enzymes,negative,6,5,0.0,0.0431,0.09039020964684173,-0.47682155145334293,1.0,10000,c1509b5525b6,discordance_overshoot,True
interneuron_subclass,positive,4,4,0.25,0.062275,0.11959546134782875,1.5696665900558286,0.22917708229177083,10000,c1509b5525b6,discordance_overshoot,True
interneuron_subclass,negative,4,4,0.0,0.043975,0.10245706112806476,-0.42920419067099796,1.0,10000,c1509b5525b6,discordance_overshoot,True
HALLMARK_GLYCOLYSIS,positive,200,99,0.04040404040404041,0.048839393939393946,0.021316501217620118,-0.3957194217398546,0.7190280971902809,10000,c1509b5525b6,discordance_overshoot,True
