target,reference,step,rho,p_spin,p_naive,n_valid,rho_before,attenuation,cell,n_genes,direction_h1,p_fdr
baseline_oef,margulies_gradient1,raw,0.15227122712271224,0.4677532246775322,0.13043157803637753,100,,,,,,0.7484051594840515
baseline_oef,t1w_t2w_myelin,raw,-0.011857185718571856,0.9671032896710329,0.9067925245640063,100,,,,,,0.9671032896710329
baseline_oef,raichle_cmrglc,raw,-0.12284428442844283,0.5718428157184282,0.22336989617348102,100,,,,,,0.762457087624571
baseline_oef,raichle_cmro2,raw,-0.19597959795979597,0.34096590340965904,0.05068338778485721,100,,,,,,0.7484051594840515
baseline_oef,raichle_cbf,raw,-0.3088988898889889,0.15058494150584942,0.0017659980745991617,100,,,,,,0.7484051594840515
baseline_oef,raichle_cbv,raw,-0.14934293429342932,0.44185581441855815,0.13807881473100572,100,,,,,,0.7484051594840515
baseline_oef,evolutionary_expansion,raw,-0.20091209120912087,0.3798620137986201,0.04503273177057603,100,,,,,,0.7484051594840515
baseline_oef,abagen_genepc1,raw,-0.04906090609060905,0.8642135786421358,0.6278657858346728,100,,,,,,0.9671032896710329
baseline_oef,raichle_cmrglc,partial,-0.24314000484761333,0.30086991300869914,,100,-0.12284428442844283,-0.1202957204191705,,,,0.4513048695130487
baseline_oef,raichle_cmro2,partial,-0.2875298841950576,0.08489151084891511,,100,-0.19597959795979597,-0.09155028623526162,,,,0.3842615738426158
baseline_oef,raichle_cbf,partial,-0.33883947243238993,0.12808719128087193,,100,-0.3088988898889889,-0.02994058254340104,,,,0.3842615738426158
baseline_oef,raichle_cbv,partial,-0.10504987123701294,0.5855414458554145,,100,-0.14934293429342932,0.04429306305641638,,,,0.5855414458554145
baseline_oef,evolutionary_expansion,partial,-0.27029893956874584,0.23537646235376464,,100,-0.20091209120912087,-0.06938684835962497,,,,0.4513048695130487
baseline_oef,abagen_genepc1,partial,-0.12126874359653318,0.53994600539946,,100,-0.04906090609060905,-0.07220783750592413,,,,0.5855414458554145
baseline_oef,endothelial,geneset_partial,0.011043517679054178,0.9596040395960403,,100,-0.008592859285928591,-0.0024506583931255873,c1509b5525b6,6.0,negative,0.9989001099890011
baseline_oef,pericyte_mural,geneset_partial,-0.41674107786216685,0.014698530146985302,,100,-0.3845784578457845,-0.03216262001638237,c1509b5525b6,4.0,negative,0.16168383161683833
baseline_oef,astrocyte,geneset_partial,-0.15102626417546955,0.4002599740025997,,100,-0.08253225322532251,-0.06849401095014704,c1509b5525b6,4.0,,0.9989001099890011
baseline_oef,glucose_lactate_transport,geneset_partial,-0.0944327256099582,0.5889411058894111,,100,-0.07834383438343834,-0.016088891226519866,c1509b5525b6,5.0,positive,0.9989001099890011
baseline_oef,glycolytic_enzymes,geneset_partial,0.011921520484804838,0.9646035396460354,,100,-0.045892589258925885,0.033971068774121045,c1509b5525b6,6.0,positive,0.9989001099890011
baseline_oef,interneuron_subclass,geneset_partial,0.035645948149105156,0.7884211578842116,,100,0.017713771377137713,-0.017932176771967442,c1509b5525b6,4.0,,0.9989001099890011
baseline_oef,HALLMARK_GLYCOLYSIS,geneset_partial,-0.0003016146671489103,0.9989001099890011,,100,-0.05048904890489049,0.05018743423774158,c1509b5525b6,181.0,positive,0.9989001099890011
baseline_oef,HALLMARK_OXIDATIVE_PHOSPHORYLATION,geneset_partial,-0.12661745225994875,0.631036896310369,,100,-0.14263426342634264,0.01601681116639389,c1509b5525b6,199.0,negative,0.9989001099890011
baseline_oef,HALLMARK_ANGIOGENESIS,geneset_partial,-0.3266140363888772,0.1372862713728627,,100,-0.35582358235823575,0.02920954596935854,c1509b5525b6,26.0,positive,0.7550744925507449
baseline_oef,HALLMARK_HYPOXIA,geneset_partial,-0.08114252046664494,0.7342265773422658,,100,-0.1281248124812481,0.04698229201460316,c1509b5525b6,171.0,positive,0.9989001099890011
baseline_oef,GOBP_BLOOD_VESSEL_MORPHOGENESIS,geneset_partial,0.032254212790215585,0.8137186281371863,,100,0.027338733873387335,-0.00491547891682825,c1509b5525b6,40.0,positive,0.9989001099890011
