depth,rho_vs_extraction,p_spin
0,0.0794878877323558,0.6303369663033697
1,0.14720525116209254,0.3765623437656234
2,0.16099718929843507,0.3271672832716728
3,0.12781231219480785,0.44275572442755723
4,0.1194318673424959,0.4757524247575243
5,0.10774556861628201,0.5185481451854814
6,0.10187083466202312,0.5409459054094591
7,0.07884566771226655,0.632936706329367
8,0.06786475818844574,0.6813318668133187
9,0.06798056835600283,0.6808319168083191
10,0.03318487710362721,0.8396160383961604
11,-0.010391330488984789,0.9498050194980502
12,-0.05770504803457511,0.7270272972702729
13,-0.07082318155967648,0.669033096690331
